"","country","country_long","name","gppd_idnr","capacity_mw","latitude","longitude","primary_fuel","other_fuel1","other_fuel2","other_fuel3","commissioning_year","owner","source","url","geolocation_source","wepp_id","year_of_capacity_data","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","generation_data_source","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","estimated_generation_note_2013","estimated_generation_note_2014","estimated_generation_note_2015","estimated_generation_note_2016","estimated_generation_note_2017"
"93","ARG","Argentina","AGUA DEL CAJON (AUTOGENERADOR DEL MEM)","ARG0000231",479.2,-38.9368,-68.3556,"Other","Gas","","",1997.4,"CAPEX SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011582",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"94","ARG","Argentina","AGUA DEL CAJON (GENERADOR DEL MEM)","ARG0000232",192,-38.9368,-68.3556,"Gas","","","",1993.5,"CAPEX SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011582",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1075.39,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"95","ARG","Argentina","AGUA DEL TORO","ARG0000210",130,-34.5792,-68.9892,"Hydro","","","",1982,"HIDISA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018417",2015,NA,NA,NA,NA,NA,NA,NA,"",288.58,330.11,413.29,415.17,289.92,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"96","ARG","Argentina","ALICURA","ARG0000230",1050,-40.58,-70.7489,"Hydro","","","",1987,"AES ARGENTINA GENERACION S.A.","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018418",2015,NA,NA,NA,NA,NA,NA,NA,"",2896.84,3621.29,3575.78,3416.89,2896.84,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"97","ARG","Argentina","ALMIRANTE BROWN","ARG0000156",25,-34.8386,-58.4033,"Oil","","","",NA,"C.T. ALMIRANTE BROWN SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048750",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,113.26,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"98","ARG","Argentina","ALTO VALLE","ARG0000235",97.5,-38.9524,-68.0218,"Gas","Other","","",1969,"CT ALTO VALLE SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1013744",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,546.09,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"99","ARG","Argentina","ALUMINE","ARG0000242",1.904,-39.2145,-70.9157,"Oil","Hydro","","",NA,"EPEN","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1086547",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,8.62,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"100","ARG","Argentina","ALVAREZ CONDARCO","ARG0000194",50.7,-33.0452,-69.0516,"Hydro","","","",2003,"CEMPPSA - HIDROCUYO SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009855",2015,NA,NA,NA,NA,NA,NA,NA,"",141.57,150.75,188.01,190.95,163.07,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"101","ARG","Argentina","ARROYITO","ARG0000254",128,-39.1009,-68.5982,"Hydro","","","",1977,"H. EL CHOCON SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1018412",2015,NA,NA,NA,NA,NA,NA,NA,"",413.34,406.43,496.11,479.69,413.34,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"102","ARG","Argentina","ATUCHA I","ARG0000029",370,-33.967,-59.2059,"Nuclear","","","",1974,"NASA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1013180",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1303.91,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"103","ARG","Argentina","ATUCHA II","ARG0000030",745,-33.9674,-59.2045,"Nuclear","","","",2014,"NASA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1101851",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2625.45,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"104","ARG","Argentina","BANDERA","ARG0000328",31,-23.8219,-64.7847,"Oil","","","",NA,"ENARSA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,140.45,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"105","ARG","Argentina","BARILOCHE (PUERTO  MORENO)","ARG0000266",5.736,-41.1167,-71.4167,"Oil","Hydro","","",NA,"COOPERATIVA DE ELECTRICIDAD BARILOCHE LTDA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,25.98,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"106","ARG","Argentina","BENJAMIN REOLIN","ARG0000085",38.4,-32.1883,-64.3233,"Hydro","","","",1966,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009859",2015,NA,NA,NA,NA,NA,NA,NA,"",90.12,102.5,118.19,123.62,104.67,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"107","ARG","Argentina","BERNARDO  DE IRIGOYEN","ARG0000220",2.096,-26.2545,-53.6469,"Oil","","","",NA,"EMSA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048744",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,9.49,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"108","ARG","Argentina","C.T. RUFINO","ARG0000310",31.9,-34.2605,-62.7107,"Oil","","","",NA,"ENARSA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048879",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,144.52,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"109","ARG","Argentina","C.T. SAN VICENTE","ARG0000159",27.6,-35.0241,-58.4237,"Oil","","","",NA,"ENARSA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,125.04,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"110","ARG","Argentina","CAA CATI","ARG0000116",1.415,-27.7534,-57.6205,"Oil","","","",NA,"DPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048633",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6.41,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"111","ARG","Argentina","CABRA CORRAL","ARG0000275",102,-25.2712,-65.3298,"Hydro","","","",1978,"AES ARGENTINA GENERACION S.A.","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009763",2015,NA,NA,NA,NA,NA,NA,NA,"",380.17,337.42,416.66,431.73,409.06,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"112","ARG","Argentina","CACHEUTA (NUEVA)","ARG0000195",120,-33.0291,-69.1109,"Hydro","","","",2002,"CEMPPSA - HIDROCUYO SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1046032",2015,NA,NA,NA,NA,NA,NA,NA,"",297.51,314.76,416.3,408.8,341.24,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"113","ARG","Argentina","CACHI","ARG0000277",1.07,-25.1089,-66.2106,"Oil","","","",NA,"AES ARGENTINA GENERACION S.A.","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048816",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4.84,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"114","ARG","Argentina","CAFAYATE","ARG0000278",4.182,-26.0715,-65.9876,"Oil","","","",NA,"AES ARGENTINA GENERACION S.A.","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048817",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,18.94,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"115","ARG","Argentina","CAPITAL CATAMARCA - PREDIO CHOYA","ARG0000048",5.728,-28.4537,-65.7841,"Oil","","","",NA,"ENDESA COSTANERA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,25.95,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"116","ARG","Argentina","CAPITAL CATAMARCA - PREDIO EX CARCEL","ARG0000049",7.075,-28.4773,-65.7872,"Oil","","","",NA,"ENDESA COSTANERA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,32.05,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"117","ARG","Argentina","CAPITAL CATAMARCA - PREDIO RIPIERA","ARG0000050",4.675,-28.4684,-65.7797,"Oil","","","",NA,"ENDESA COSTANERA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,21.18,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"118","ARG","Argentina","CASA DE PIEDRA","ARG0000183",60,-38.2143,-67.1908,"Hydro","","","",1996,"ENTE CASA DE PIEDRA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1016560",2015,NA,NA,NA,NA,NA,NA,NA,"",195.69,200.87,228.48,222,206.48,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"119","ARG","Argentina","CASSAFFOUSTH","ARG0000086",17.28,-31.3992,-64.2006,"Hydro","","","",1953,"EPEC","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048628",2015,NA,NA,NA,NA,NA,NA,NA,"",45.68,41.26,51.23,48.3,43.63,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"120","ARG","Argentina","CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA","ARG0000031",620,-38.7872,-62.2536,"Coal","","","",1990,"PAMPA ENERGIA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3213.44,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"121","ARG","Argentina","CENTRAL LOMA DE LA LATA SA","ARG0000259",540,-38.5127,-68.6048,"Gas","Other","","",1999.5,"PAMPA ENERGIA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1011927",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3024.54,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"122","ARG","Argentina","CENTRAL PARQUE INDUSTRIAL LA BANDA","ARG0000319",11.228,-38.062,-67.9463,"Oil","","","",NA,"INDUSTRIAS JUAN F. SECCO","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,50.87,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"123","ARG","Argentina","CENTRAL T.GENELBA","ARG0000165",673.6,-34.9027,-58.7334,"Gas","Other","","",1997.7,"PETROBRAS ENERGIA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1012655",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3772.84,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"124","ARG","Argentina","CENTRAL T.GENELBA PLUS","ARG0000166",164.55,-34.9027,-58.7334,"Gas","","","",NA,"PETROBRAS ENERGIA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1012655",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,921.64,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"125","ARG","Argentina","CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA)","ARG0000311",280,-31.7112,-60.7811,"Gas","","","",2013,"ENARSA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1071002",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1568.28,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"126","ARG","Argentina","CENTRAL TERMICA DE CICLO COMBINADO SALTA","ARG0000274",643,-24.7456,-65.0513,"Gas","Other","","",1999.4,"AES - TERMOANDES SA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,3601.45,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"127","ARG","Argentina","CENTRAL TERMICA GÜEMES SA","ARG0000287",361,-24.6894,-65.0425,"Coal","Gas","","",1993.3,"PAMPA ENERGIA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1025699",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1871.05,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"128","ARG","Argentina","CENTRAL TERMICA LA BANDA","ARG0000330",32,-27.7528,-64.2655,"Gas","","","",NA,"GENERACION LA BANDA S.A. (GRUPO ALBANESI )","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1009874",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,179.23,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"129","ARG","Argentina","CENTRAL TERMICA PIQUIRENDA SA","ARG0000284",30.44,-22.3497,-63.7664,"Oil","","","",2010,"EMDERSA GENERACION SALTA SA - PAMPA ENERGIA","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1086320",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,137.91,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"130","ARG","Argentina","CENTRAL TERMICA REMEDIOS DE ESCALADA","ARG0000155",25,-34.7208,-58.3881,"Oil","","","",NA,"AGGREKO ARGENTINA SRL","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,113.26,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"131","ARG","Argentina","CENTRAL TERMOELECTRICA GUILLERMO BROWN","ARG0000042",524,-34.6268,-58.5438,"Gas","","","",NA,"TERMOELECTRICA GUILLERMO BROWN","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1093946",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2934.93,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"132","ARG","Argentina","CENTRAL TERMOELECTRICA MANUEL BELGRANO","ARG0000043",868.2,-24.6894,-65.0425,"Gas","Other","","",2008.7,"TERMOELECTRICA MANUEL BELGRANO SA (TMB)","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1063683",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4862.8,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"133","ARG","Argentina","CENTRAL TERMOELECTRICA TIMBUES","ARG0000307",865.14,-32.5778,-60.791,"Gas","Other","","",2008.7,"CENTRAL TERMOELECTRICA JOSE DE SAN MARTIN (TSM)","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4845.66,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"134","ARG","Argentina","CH LOS CARACOLES","ARG0000296",121.4,-31.5192,-68.9814,"Hydro","","","",2009,"EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1045177",2015,NA,NA,NA,NA,NA,NA,NA,"",341.9,340.96,423.27,489.01,339.93,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"135","ARG","Argentina","CHILECITO","ARG0000185",5,-29.1578,-67.5069,"Oil","","","",NA,"INDUSTRIAS JUAN F. SECCO","Ministerio de Energía y Minería","http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx","Ministerio de Energía y Minería","1048507",2015,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,22.65,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
